date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-06-19,463510,348354.0,115156.0,7184.0,6438.0,746.0,187.0,4.0,,132.0,55.0,4.0,0.0,30.0,23.0,7.0,4.0
2021-06-18,463337,348228.0,115109.0,7180.0,6434.0,746.0,211.0,2.0,,130.0,81.0,1.0,1.0,42.0,20.0,22.0,2.0
2021-06-17,463154,348113.0,115041.0,7178.0,6433.0,745.0,255.0,3.0,,177.0,78.0,3.0,0.0,43.0,29.0,14.0,3.0
2021-06-16,462922,347905.0,115017.0,7175.0,6430.0,745.0,233.0,4.0,,136.0,97.0,3.0,1.0,55.0,25.0,30.0,4.0
2021-06-15,462700,347738.0,114962.0,7171.0,6427.0,744.0,290.0,8.0,,168.0,122.0,6.0,2.0,46.0,21.0,25.0,8.0
2021-06-14,462432,347549.0,114883.0,7163.0,6421.0,742.0,129.0,5.0,,101.0,28.0,4.0,1.0,18.0,17.0,1.0,5.0
2021-06-13,462303,347437.0,114866.0,7158.0,6417.0,741.0,88.0,3.0,,61.0,27.0,2.0,1.0,12.0,9.0,3.0,3.0
2021-06-12,462220,347383.0,114837.0,7155.0,6415.0,740.0,279.0,8.0,,147.0,132.0,8.0,0.0,53.0,30.0,23.0,8.0
2021-06-11,461947,347204.0,114743.0,7147.0,6407.0,740.0,237.0,9.0,,146.0,91.0,8.0,1.0,31.0,15.0,16.0,9.0
2021-06-10,461717,347017.0,114700.0,7138.0,6399.0,739.0,289.0,17.0,,177.0,112.0,14.0,3.0,33.0,20.0,13.0,17.0
2021-06-09,461446,346804.0,114642.0,7121.0,6384.0,737.0,361.0,12.0,,191.0,170.0,11.0,1.0,67.0,24.0,43.0,12.0
2021-06-08,461119,346606.0,114513.0,7109.0,6373.0,736.0,614.0,6.0,,347.0,267.0,6.0,0.0,119.0,63.0,56.0,6.0
2021-06-07,460520,346267.0,114253.0,7103.0,6367.0,736.0,36.0,5.0,,16.0,20.0,3.0,2.0,6.0,2.0,4.0,5.0
2021-06-06,460485,346140.0,114345.0,7098.0,6364.0,734.0,83.0,7.0,,60.0,23.0,7.0,0.0,11.0,3.0,8.0,7.0
2021-06-05,460412,346191.0,114221.0,7091.0,6357.0,734.0,369.0,5.0,,216.0,153.0,4.0,1.0,61.0,33.0,28.0,5.0
2021-06-04,460049,345956.0,114093.0,7086.0,6353.0,733.0,531.0,9.0,,338.0,193.0,7.0,2.0,88.0,56.0,32.0,1.0
2021-06-03,459540,345615.0,113925.0,7077.0,6346.0,731.0,429.0,6.0,,268.0,161.0,6.0,0.0,65.0,39.0,26.0,2.0
2021-06-02,459124,345350.0,113774.0,7071.0,6340.0,731.0,445.0,4.0,,265.0,180.0,4.0,0.0,68.0,37.0,31.0,2.0
2021-06-01,458712,345088.0,113624.0,7067.0,6336.0,731.0,137.0,1.0,260.0,110.0,27.0,0.0,1.0,34.0,22.0,12.0,3.0
2021-05-31,458575,344981.0,113594.0,6806.0,6116.0,690.0,96.0,3.0,1.0,69.0,27.0,3.0,0.0,17.0,13.0,4.0,1.0
2021-05-30,458479,344912.0,113567.0,6802.0,6113.0,689.0,205.0,7.0,13.0,163.0,42.0,7.0,0.0,24.0,17.0,7.0,1.0
2021-05-29,458275,344744.0,113531.0,6782.0,6105.0,677.0,383.0,6.0,18.0,254.0,129.0,5.0,1.0,76.0,51.0,25.0,5.0
2021-05-28,457892,344470.0,113422.0,6758.0,6092.0,666.0,415.0,6.0,4.0,257.0,158.0,6.0,0.0,71.0,38.0,33.0,1.0
2021-05-27,457482,344208.0,113274.0,6748.0,6084.0,664.0,421.0,2.0,2.0,237.0,184.0,2.0,0.0,78.0,39.0,39.0,2.0
2021-05-26,457062,343946.0,113116.0,6744.0,6081.0,663.0,440.0,16.0,3.0,259.0,181.0,15.0,1.0,78.0,45.0,33.0,2.0
2021-05-25,456626,343658.0,112968.0,6725.0,6065.0,660.0,580.0,4.0,1.0,350.0,230.0,4.0,0.0,96.0,47.0,49.0,6.0
2021-05-24,456053,343292.0,112761.0,6720.0,6061.0,659.0,263.0,3.0,1.0,192.0,71.0,1.0,2.0,47.0,41.0,6.0,3.0
2021-05-23,455790,343096.0,112694.0,6716.0,6059.0,657.0,215.0,11.0,0.0,152.0,63.0,9.0,2.0,43.0,31.0,12.0,2.0
2021-05-22,455575,342947.0,112628.0,6705.0,6050.0,655.0,426.0,5.0,2.0,270.0,156.0,5.0,0.0,71.0,44.0,27.0,4.0
2021-05-21,455150,342672.0,112478.0,6698.0,6044.0,654.0,544.0,5.0,0.0,348.0,196.0,4.0,1.0,112.0,71.0,41.0,1.0
2021-05-20,454609,342317.0,112292.0,6693.0,6041.0,652.0,575.0,13.0,2.0,353.0,222.0,12.0,1.0,133.0,75.0,58.0,3.0
2021-05-19,454044,341940.0,112104.0,6678.0,6027.0,651.0,588.0,5.0,0.0,318.0,270.0,5.0,0.0,123.0,61.0,62.0,3.0
2021-05-18,453460,341597.0,111863.0,6673.0,6022.0,651.0,645.0,11.0,0.0,355.0,290.0,11.0,0.0,133.0,74.0,59.0,0.0
2021-05-17,452821,341229.0,111592.0,6662.0,6012.0,650.0,285.0,6.0,0.0,208.0,77.0,6.0,0.0,68.0,52.0,16.0,4.0
2021-05-16,452537,341013.0,111524.0,6656.0,6006.0,650.0,287.0,8.0,0.0,218.0,69.0,8.0,0.0,39.0,35.0,4.0,4.0
2021-05-15,452250,340790.0,111460.0,6648.0,5998.0,650.0,488.0,5.0,0.0,312.0,176.0,4.0,1.0,118.0,78.0,40.0,4.0
2021-05-14,451766,340472.0,111294.0,6643.0,5994.0,649.0,558.0,6.0,0.0,369.0,189.0,6.0,0.0,99.0,67.0,32.0,5.0
2021-05-13,451213,340103.0,111110.0,6637.0,5988.0,649.0,674.0,4.0,3.0,415.0,259.0,4.0,0.0,151.0,83.0,68.0,1.0
2021-05-12,450541,339657.0,110884.0,6630.0,5981.0,649.0,680.0,9.0,1.0,407.0,273.0,9.0,0.0,132.0,85.0,47.0,5.0
2021-05-11,449864,339238.0,110626.0,6620.0,5971.0,649.0,758.0,23.0,0.0,392.0,366.0,17.0,6.0,136.0,60.0,76.0,4.0
2021-05-10,449107,338829.0,110278.0,6597.0,5954.0,643.0,167.0,9.0,2.0,117.0,50.0,8.0,1.0,30.0,23.0,7.0,3.0
2021-05-09,448952,338713.0,110239.0,6586.0,5944.0,642.0,195.0,8.0,0.0,152.0,43.0,8.0,0.0,42.0,31.0,11.0,1.0
2021-05-08,448757,338558.0,110199.0,6578.0,5936.0,642.0,544.0,18.0,1.0,299.0,245.0,17.0,1.0,109.0,60.0,49.0,6.0
2021-05-07,448215,338257.0,109958.0,6559.0,5919.0,640.0,638.0,10.0,1.0,380.0,258.0,9.0,1.0,158.0,95.0,63.0,6.0
2021-05-06,447582,337873.0,109709.0,6548.0,5909.0,639.0,655.0,5.0,1.0,415.0,240.0,4.0,1.0,147.0,86.0,61.0,1.0
2021-05-05,446929,337430.0,109499.0,6542.0,5905.0,637.0,710.0,10.0,0.0,418.0,292.0,9.0,1.0,176.0,110.0,66.0,2.0
2021-05-04,446221,337001.0,109220.0,6532.0,5895.0,637.0,776.0,7.0,0.0,428.0,348.0,7.0,0.0,153.0,74.0,79.0,5.0
2021-05-03,445449,336553.0,108896.0,6525.0,5888.0,637.0,313.0,5.0,3.0,209.0,104.0,4.0,1.0,55.0,34.0,21.0,3.0
2021-05-02,445139,336336.0,108803.0,6517.0,5882.0,635.0,368.0,3.0,1.0,267.0,101.0,3.0,0.0,77.0,53.0,24.0,3.0
2021-05-01,444771,336065.0,108706.0,6513.0,5878.0,635.0,646.0,9.0,3.0,425.0,221.0,9.0,0.0,160.0,99.0,61.0,5.0
2021-04-30,444127,335631.0,108496.0,6501.0,5867.0,634.0,723.0,4.0,0.0,435.0,288.0,3.0,1.0,173.0,102.0,71.0,2.0
2021-04-29,443408,335184.0,108224.0,6497.0,5864.0,633.0,796.0,10.0,2.0,541.0,255.0,9.0,1.0,160.0,89.0,71.0,5.0
2021-04-28,442618,334624.0,107994.0,6485.0,5854.0,631.0,747.0,9.0,0.0,454.0,293.0,9.0,0.0,163.0,89.0,74.0,3.0
2021-04-27,441880,334152.0,107728.0,6476.0,5845.0,631.0,716.0,10.0,7.0,367.0,349.0,9.0,1.0,155.0,74.0,81.0,4.0
2021-04-26,441166,333792.0,107374.0,6459.0,5829.0,630.0,213.0,4.0,7.0,159.0,54.0,4.0,0.0,32.0,22.0,10.0,5.0
2021-04-25,440955,333631.0,107324.0,6449.0,5822.0,627.0,325.0,4.0,9.0,214.0,111.0,4.0,0.0,72.0,42.0,30.0,7.0
2021-04-24,440631,333419.0,107212.0,6436.0,5812.0,624.0,489.0,22.0,11.0,275.0,214.0,21.0,1.0,96.0,57.0,39.0,4.0
